2020-12-23 23:20:27 |INFO  |main |StartupInfoLogger.java:50 |com.ouyeel.obfm.RpcApplication |Starting RpcApplication on L with PID 6460 (C:\z\coding\IdeaProjects\ouyeel-bc\rpc\target\classes started by z in C:\z\coding\IdeaProjects\ouyeel-bc\rpc)
2020-12-23 23:20:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.AprLifecycleListener |The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\z\bin\Java\jdk1.8.0_261\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.1\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.1\libnvvp;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.2\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.2\libnvvp;;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\Microsoft VS Code\bin;C:\Program Files\Docker\Docker\resources\bin;C:\ProgramData\DockerDesktop\version-bin;C:\Program Files (x86)\dotnet\;C:\Program Files\NVIDIA Corporation\Nsight Compute 2020.2.1\;C:\Users\z\AppData\Local\Programs\Python\Python39\Scripts\;C:\Users\z\AppData\Local\Programs\Python\Python39\;C:\Users\z\.cargo\bin;C:\Users\z\AppData\Local\Microsoft\WindowsApps;C:\z\bin\Java\jdk1.8.0_261\bin;C:\Users\z\AppData\Local\JetBrains\IntelliJ IDEA 2020.2.3\bin;;C:\Program Files\Bandizip\;C:\z\bin\mysql-5.7.31-winx64\bin;C:\Users\z\AppData\Local\hyper\app-3.0.2\resources\bin;C:\z\bin\apache-maven-3.6.3\bin;C:\users\z\appdata\local\programs\python\python37\Scripts;C:\z\bin\cuda\bin;;.]
2020-12-23 23:20:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-23 23:20:28 |INFO  |main |ServletWebServerApplicationContext.java:296 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 923 ms
2020-12-23 23:20:28 |DEBUG |main |TraversableResolvers.java:60 |org.hibernate.validator.internal.engine.resolver.TraversableResolvers |Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2020-12-23 23:20:28 |DEBUG |main |ResourceBundleMessageInterpolator.java:89 |org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator |Loaded expression factory via original TCCL
2020-12-23 23:20:28 |DEBUG |main |TraversableResolvers.java:60 |org.hibernate.validator.internal.engine.resolver.TraversableResolvers |Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2020-12-23 23:20:28 |DEBUG |main |ConfigurationImpl.java:148 |org.hibernate.validator.internal.engine.ConfigurationImpl |Setting custom MessageInterpolator of type org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator
2020-12-23 23:20:28 |DEBUG |main |ConfigurationImpl.java:180 |org.hibernate.validator.internal.engine.ConfigurationImpl |Setting custom ConstraintValidatorFactory of type org.springframework.validation.beanvalidation.SpringConstraintValidatorFactory
2020-12-23 23:20:28 |DEBUG |main |ConfigurationImpl.java:194 |org.hibernate.validator.internal.engine.ConfigurationImpl |Setting custom ParameterNameProvider of type org.springframework.validation.beanvalidation.LocalValidatorFactoryBean$1
2020-12-23 23:20:28 |DEBUG |main |ValidationXmlParser.java:120 |org.hibernate.validator.internal.xml.config.ValidationXmlParser |Trying to load META-INF/validation.xml for XML based Validator configuration.
2020-12-23 23:20:28 |DEBUG |main |ResourceLoaderHelper.java:53 |org.hibernate.validator.internal.xml.config.ResourceLoaderHelper |Trying to load META-INF/validation.xml via user class loader
2020-12-23 23:20:28 |DEBUG |main |ResourceLoaderHelper.java:60 |org.hibernate.validator.internal.xml.config.ResourceLoaderHelper |Trying to load META-INF/validation.xml via TCCL
2020-12-23 23:20:28 |DEBUG |main |ResourceLoaderHelper.java:66 |org.hibernate.validator.internal.xml.config.ResourceLoaderHelper |Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2020-12-23 23:20:28 |DEBUG |main |ValidationXmlParser.java:127 |org.hibernate.validator.internal.xml.config.ValidationXmlParser |No META-INF/validation.xml found. Using annotation based configuration only.
2020-12-23 23:20:28 |DEBUG |main |ValidatorFactoryImpl.java:578 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator as ValidatorFactory-scoped message interpolator.
2020-12-23 23:20:28 |DEBUG |main |ValidatorFactoryImpl.java:579 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2020-12-23 23:20:28 |DEBUG |main |ValidatorFactoryImpl.java:580 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2020-12-23 23:20:28 |DEBUG |main |ValidatorFactoryImpl.java:581 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2020-12-23 23:20:28 |DEBUG |main |ValidatorFactoryImpl.java:582 |org.hibernate.validator.internal.engine.ValidatorFactoryImpl |HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2020-12-23 23:20:29 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-23 23:20:29 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8080"]
2020-12-23 23:20:29 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8080 (http) with context path ''
2020-12-23 23:20:29 |INFO  |main |StartupInfoLogger.java:59 |com.ouyeel.obfm.RpcApplication |Started RpcApplication in 1.651 seconds (JVM running for 2.654)
2020-12-23 23:20:37 |INFO  |http-nio-8080-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-23 23:20:37 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:524 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-12-23 23:20:37 |INFO  |http-nio-8080-exec-1 |FrameworkServlet.java:546 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 4 ms
2020-12-23 23:20:37 |DEBUG |http-nio-8080-exec-1 |HelloController.java:37 |com.ouyeel.obfm.fm.controller.HelloController |index start
2020-12-23 23:20:37 |DEBUG |http-nio-8080-exec-1 |ChainDao.java:27 |com.ouyeel.obfm.fm.dao.ChainDao |ibatis SqlMapConfig ...
2020-12-23 23:20:37 |DEBUG |http-nio-8080-exec-1 |ChainDao.java:32 |com.ouyeel.obfm.fm.dao.ChainDao |ibatis SqlMapConfig success
2020-12-23 23:20:37 |DEBUG |http-nio-8080-exec-1 |HelloController.java:40 |com.ouyeel.obfm.fm.controller.HelloController |index end
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |HelloController.java:53 |com.ouyeel.obfm.fm.controller.HelloController |[upChain] start
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:51 |com.ouyeel.obfm.fm.business.impl.OrderService |[upChain] start
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:61 |com.ouyeel.obfm.fm.business.impl.OrderService |inJson: [{"INVOKE_TIME":"2019-03-05 11:11:11.12","BUSINESS_ID":"businessId","TABLE_NAME":"invoice","ACCOUNT_ID":"002","CALLBACK_URL":"http://127.0.0.1:8082/callback","KEY_ID":"001","REQUEST_SN":"cf642e58-2d11-498a-89c0-1b9271c7cc13","SYSTEM_ID":"00009839","DATA_INFO":{"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}}]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:31 |com.ouyeel.obfm.fm.business.impl.OrderService |systemId: [00009839]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:32 |com.ouyeel.obfm.fm.business.impl.OrderService |sm4Key: [9fd98cad77be33e67753e94c40edafb0]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:33 |com.ouyeel.obfm.fm.business.impl.OrderService |sm4Iv: [8dd7bb48ad73b27230690337dfb9ea7f]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:34 |com.ouyeel.obfm.fm.business.impl.OrderService |publicKey: [2204404536ab867d9a964bfcc5e6fdaa7d77e509ce5891d38b3ebbb036e5c225994597ea6d0bdff3539fd3062b3943a1c7dd75d173f35101b71298e9f7f08d51]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:35 |com.ouyeel.obfm.fm.business.impl.OrderService |privateKey: [d6c83aee4bfbeb135a2dcef8c803b186d0678a99002b09d3c60c22aca7105005]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |OrderService.java:102 |com.ouyeel.obfm.fm.business.impl.OrderService |upChain...
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:48 |com.ouyeel.obfm.fm.dao.ChainDao |paramMap: [{BUSINESS_ID=businessId, TABLE_NAME=invoice, ACCOUNT_ID=002, CALLBACK_URL=http://127.0.0.1:8082/callback, PRIVATE_KEY=d6c83aee4bfbeb135a2dcef8c803b186d0678a99002b09d3c60c22aca7105005, PUBLIC_KEY=2204404536ab867d9a964bfcc5e6fdaa7d77e509ce5891d38b3ebbb036e5c225994597ea6d0bdff3539fd3062b3943a1c7dd75d173f35101b71298e9f7f08d51, SM4_KEY=9fd98cad77be33e67753e94c40edafb0, KEY_ID=001, SM4_IV=8dd7bb48ad73b27230690337dfb9ea7f, REQUEST_SN=cf642e58-2d11-498a-89c0-1b9271c7cc13, SYSTEM_ID=00009839, DATA_INFO={"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}, INVOKE_TIME=2019-03-05 11:11:11.12}]
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:49 |com.ouyeel.obfm.fm.dao.ChainDao |insertTx start
2020-12-23 23:21:07 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:50 |com.ouyeel.obfm.fm.dao.ChainDao |DATA_INFO: {"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:53 |com.ouyeel.obfm.fm.dao.ChainDao |insertResult: [null]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:61 |com.ouyeel.obfm.fm.dao.ChainDao |insertTx end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |OrderService.java:109 |com.ouyeel.obfm.fm.business.impl.OrderService |upChain success
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |AsyncCallback.java:107 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |[addTask] start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |AsyncCallback.java:109 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callbackUrl: [http://127.0.0.1:8082/callback] tableName: [invoice] requestSn: [cf642e58-2d11-498a-89c0-1b9271c7cc13]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |AsyncCallback.java:112 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |[addTask] end
2020-12-23 23:21:08 |DEBUG |pool-2-thread-1 |AsyncCallback.java:56 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |current thread name: [pool-2-thread-1]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:68 |com.ouyeel.obfm.fm.dao.ChainDao |queryTxHashByRequestSn start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:73 |com.ouyeel.obfm.fm.dao.ChainDao |queryTxHashByRequestSn...
2020-12-23 23:21:08 |DEBUG |pool-2-thread-1 |AsyncCallback.java:59 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |thread sleep 7999ms
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:79 |com.ouyeel.obfm.fm.dao.ChainDao |txHash: [0x232dce0c7d92574c53f66702cd12ea93963d5928a7ef1adb6388672a05d8ffb0]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:83 |com.ouyeel.obfm.fm.dao.ChainDao |queryByRequestSn success
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |ChainDao.java:84 |com.ouyeel.obfm.fm.dao.ChainDao |queryTxHashByRequestSn end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |OrderService.java:128 |com.ouyeel.obfm.fm.business.impl.OrderService |txHash: [0x232dce0c7d92574c53f66702cd12ea93963d5928a7ef1adb6388672a05d8ffb0]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |OrderService.java:138 |com.ouyeel.obfm.fm.business.impl.OrderService |outJson: [{"MSG":"上传交易成功","BUSINESS_ID":"businessId","CODE":101,"TX_HASH":"0x232dce0c7d92574c53f66702cd12ea93963d5928a7ef1adb6388672a05d8ffb0","REQUEST_SN":"cf642e58-2d11-498a-89c0-1b9271c7cc13","SYSTEM_ID":"00009839"}]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |OrderService.java:139 |com.ouyeel.obfm.fm.business.impl.OrderService |[upChain] end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-2 |HelloController.java:58 |com.ouyeel.obfm.fm.controller.HelloController |[upChain] end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |HelloController.java:53 |com.ouyeel.obfm.fm.controller.HelloController |[upChain] start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:51 |com.ouyeel.obfm.fm.business.impl.OrderService |[upChain] start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:61 |com.ouyeel.obfm.fm.business.impl.OrderService |inJson: [{"INVOKE_TIME":"2019-03-05 11:11:11.12","BUSINESS_ID":"businessId","TABLE_NAME":"invoice","ACCOUNT_ID":"002","CALLBACK_URL":"http://127.0.0.1:8082/callback","KEY_ID":"001","REQUEST_SN":"cf642e58-2d11-498a-89c0-1b9271c7cc13","SYSTEM_ID":"00009839","DATA_INFO":{"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}}]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:31 |com.ouyeel.obfm.fm.business.impl.OrderService |systemId: [00009839]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:32 |com.ouyeel.obfm.fm.business.impl.OrderService |sm4Key: [9fd98cad77be33e67753e94c40edafb0]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:33 |com.ouyeel.obfm.fm.business.impl.OrderService |sm4Iv: [8dd7bb48ad73b27230690337dfb9ea7f]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:34 |com.ouyeel.obfm.fm.business.impl.OrderService |publicKey: [2204404536ab867d9a964bfcc5e6fdaa7d77e509ce5891d38b3ebbb036e5c225994597ea6d0bdff3539fd3062b3943a1c7dd75d173f35101b71298e9f7f08d51]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:35 |com.ouyeel.obfm.fm.business.impl.OrderService |privateKey: [d6c83aee4bfbeb135a2dcef8c803b186d0678a99002b09d3c60c22aca7105005]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:102 |com.ouyeel.obfm.fm.business.impl.OrderService |upChain...
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:48 |com.ouyeel.obfm.fm.dao.ChainDao |paramMap: [{BUSINESS_ID=businessId, TABLE_NAME=invoice, ACCOUNT_ID=002, CALLBACK_URL=http://127.0.0.1:8082/callback, PRIVATE_KEY=d6c83aee4bfbeb135a2dcef8c803b186d0678a99002b09d3c60c22aca7105005, PUBLIC_KEY=2204404536ab867d9a964bfcc5e6fdaa7d77e509ce5891d38b3ebbb036e5c225994597ea6d0bdff3539fd3062b3943a1c7dd75d173f35101b71298e9f7f08d51, SM4_KEY=9fd98cad77be33e67753e94c40edafb0, KEY_ID=001, SM4_IV=8dd7bb48ad73b27230690337dfb9ea7f, REQUEST_SN=cf642e58-2d11-498a-89c0-1b9271c7cc13, SYSTEM_ID=00009839, DATA_INFO={"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}, INVOKE_TIME=2019-03-05 11:11:11.12}]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:49 |com.ouyeel.obfm.fm.dao.ChainDao |insertTx start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:50 |com.ouyeel.obfm.fm.dao.ChainDao |DATA_INFO: {"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:53 |com.ouyeel.obfm.fm.dao.ChainDao |insertResult: [null]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:61 |com.ouyeel.obfm.fm.dao.ChainDao |insertTx end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:109 |com.ouyeel.obfm.fm.business.impl.OrderService |upChain success
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |AsyncCallback.java:107 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |[addTask] start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |AsyncCallback.java:109 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |callbackUrl: [http://127.0.0.1:8082/callback] tableName: [invoice] requestSn: [cf642e58-2d11-498a-89c0-1b9271c7cc13]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |AsyncCallback.java:112 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |[addTask] end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:68 |com.ouyeel.obfm.fm.dao.ChainDao |queryTxHashByRequestSn start
2020-12-23 23:21:08 |DEBUG |pool-2-thread-2 |AsyncCallback.java:56 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |current thread name: [pool-2-thread-2]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:73 |com.ouyeel.obfm.fm.dao.ChainDao |queryTxHashByRequestSn...
2020-12-23 23:21:08 |DEBUG |pool-2-thread-2 |AsyncCallback.java:59 |com.ouyeel.obfm.fm.business.impl.AsyncCallback |thread sleep 8000ms
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:79 |com.ouyeel.obfm.fm.dao.ChainDao |txHash: [0x232dce0c7d92574c53f66702cd12ea93963d5928a7ef1adb6388672a05d8ffb0]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:83 |com.ouyeel.obfm.fm.dao.ChainDao |queryByRequestSn success
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |ChainDao.java:84 |com.ouyeel.obfm.fm.dao.ChainDao |queryTxHashByRequestSn end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:128 |com.ouyeel.obfm.fm.business.impl.OrderService |txHash: [0x232dce0c7d92574c53f66702cd12ea93963d5928a7ef1adb6388672a05d8ffb0]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:138 |com.ouyeel.obfm.fm.business.impl.OrderService |outJson: [{"MSG":"上传交易成功","BUSINESS_ID":"businessId","CODE":101,"TX_HASH":"0x232dce0c7d92574c53f66702cd12ea93963d5928a7ef1adb6388672a05d8ffb0","REQUEST_SN":"cf642e58-2d11-498a-89c0-1b9271c7cc13","SYSTEM_ID":"00009839"}]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |OrderService.java:139 |com.ouyeel.obfm.fm.business.impl.OrderService |[upChain] end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-3 |HelloController.java:58 |com.ouyeel.obfm.fm.controller.HelloController |[upChain] end
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-4 |HelloController.java:53 |com.ouyeel.obfm.fm.controller.HelloController |[upChain] start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-4 |OrderService.java:51 |com.ouyeel.obfm.fm.business.impl.OrderService |[upChain] start
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-4 |OrderService.java:61 |com.ouyeel.obfm.fm.business.impl.OrderService |inJson: [{"INVOKE_TIME":"2019-03-05 11:11:11.12","BUSINESS_ID":"businessId","TABLE_NAME":"invoice","ACCOUNT_ID":"002","CALLBACK_URL":"http://127.0.0.1:8082/callback","KEY_ID":"001","REQUEST_SN":"cf642e58-2d11-498a-89c0-1b9271c7cc13","SYSTEM_ID":"00009839","DATA_INFO":{"CONSUMER_TAXES_NO":"12100000425006133D","PRICE":"1000","PRICE_PLUS_TAXES":"1000","TAXES":"150","INVOICE_NUMBER":"1","INVOICE_NO":"3100982170","INVOICE_DATE":"2020-10-03","STATEMENT_SHEET":"1","SELLER_TAXES_NO":"913100003245878130","INVOICE_TYPE":"增值税","STATEMENT_WEIGHT":"1kg","TIMESTAMPS":"1601712721","CONSUMER_NAME":"数据学院","SELLER_NAME":"华东师大","TAXES_POINT":"17%"}}]
2020-12-23 23:21:08 |DEBUG |http-nio-8080-exec-4 |OrderService.java:31 |com.ouyeel.obfm.fm.business.impl.OrderService |systemId: [00009839]
