['0x013121291061493421111131049241312871055370116', '0x8234523749', '爱建集团', '731914A97V77CU6', '中颖电子', '739439P60C8CSO6', '2020-11-06 10:45:43', '增值税发票', '14.69%', 370, 39557, 39927, 1, 1, '5kg', 1604630743970366700, '0x073108141561471031141213']
['0x135131061212313801410024141331228794715133873', '0x1020637675', '上海建工', '732912DBHM76VWX', '万达信息', '7324609HBLXQ8M9', '2020-11-06 10:45:43', '普通发票', '14.93%', 670, 60343, 61013, 3, 1, '4kg', 1604630743972373800, '0x315845668911130263']
['0x1364147210121314111528141514137152141214131427473', '0x8756503974', 'ST岩石', '730457JP1BB2KG5', '交通银行', '736776U6SW94297', '2020-11-06 10:45:43', '专业发票', '15.95%', 302, 37797, 38099, 4, 1, '10kg', 1604630743972373800, '0x1415131397251414106141594']
['0x70120809311311122812103141071041584108121042', '0x6678668579', '亚通股份', '737707HEPL9AF52', '良信电器', '731974JGB72L8C0', '2020-11-06 10:45:43', '增值税发票', '15.21%', 148, 12927, 13075, 2, 3, '1kg', 1604630743972373800, '0x1014414312110659012142']
['0x75142121191215112153921291124141329006201512', '0x0178971151', '凯众股份', '737771HBR6DJ2N2', 'ST中安', '737455LFIPCUEE4', '2020-11-06 10:45:43', '增值税发票', '15.38%', 249, 109424, 109673, 1, 1, '2kg', 1604630743973374300, '0x12111313131104513112931312']
['0x205705141011522125363815821489148926315', '0x5359296872', '上海环境', '738233PBCS3DBL3', '上海九百', '731115X7YEW5BL0', '2020-11-06 10:45:43', '普通发票', '18.93%', 878, 21354, 22232, 4, 1, '2kg', 1604630743973374300, '0x111812136783113154362']
['0x211101415124110139113081631512294141321113562', '0x0176100999', '东方明珠', '737278RMY1Y6001', '上港集团', '730093PMES3ICQ8', '2020-11-06 10:45:43', '普通发票', '14.06%', 830, 64227, 65057, 4, 2, '11kg', 1604630743973374300, '0x1401503100615614641035']
['0x5253972141210813113311814981568143152155615', '0x4262145070', '东方航空', '7385243VRE8KYG2', '方正科技', '7395081WWPAFYX7', '2020-11-06 10:45:43', '普通发票', '16.24%', 851, 39491, 40342, 1, 1, '4kg', 1604630743973374300, '0x410113574136015303']
['0x141211131311867811154119359971007130134497', '0x3301448721', '沃施股份', '739108USVBJMV83', '摩恩电气', '735324TP9IO6X53', '2020-11-06 10:45:43', '增值税发票', '12.49%', 287, 105758, 106045, 1, 4, '11kg', 1604630743973374300, '0x0191026125141181314813']
['0x12159121139121415219148854101210706714112153510', '0x6279311790', '联明股份', '7357429TSAEJXD6', '申通地铁', '730357EIH33KLVX', '2020-11-06 10:45:43', '增值税发票', '16.02%', 502, 66396, 66898, 2, 1, '4kg', 1604630743973374300, '0x815391031510814510610128']
['0x1487214008515912001041512548155833710111400', '0x7576131673', '徐家汇', '7365211MU3P3P5X', '第一医药', '737108YSYJGYHQX', '2020-11-06 10:45:43', '专业发票', '15.18%', 1082, 90215, 91297, 2, 3, '3kg', 1604630743973374300, '0x815026101315301111134124']
['0x2141111365515143579150014527131171431461510614', '0x2897286749', '豫园股份', '731065Y3GK86NS1', '东方明珠', '737278RMY1Y6001', '2020-11-06 10:45:43', '普通发票', '12.08%', 999, 87815, 88814, 1, 1, '9kg', 1604630743973374300, '0x553177112110151313216']
['0x01111010581396141121213218331322814917015712', '0x4933827600', '中路股份', '731720LJNC238Y3', '汉钟精机', '731305KG24YXJG9', '2020-11-06 10:45:43', '增值税发票', '17.12%', 162, 72364, 72526, 1, 2, '4kg', 1604630743973374300, '0x1496335866151267121']
['0x6135124111311101212081439102914141232131369631313', '0x4776826624', '网达软件', '737066QDWMRRYM2', '艾艾精工', '737554D5T4139J6', '2020-11-06 10:45:43', '专业发票', '14.01%', 441, 84587, 85028, 4, 1, '6kg', 1604630743973374300, '0x1411123180131541577810']
['0x2112112121566314121010681501521401541012410713012', '0x8947671454', '彤程新材', '731981CVVT1FH75', '上实发展', '735615U0QXPTMP6', '2020-11-06 10:45:43', '普通发票', '11.21%', 452, 88388, 88840, 3, 3, '3kg', 1604630743973374300, '0x151714111441236148121260']
['0x131492111396676947141115611115097716101471313', '0x3057674994', '华虹计通', '731091EL2JQF4AX', '古鳌科技', '735089TDWX0TW69', '2020-11-06 10:45:43', '普通发票', '16.42%', 844, 99602, 100446, 2, 2, '7kg', 1604630743973374300, '0x1175271471179145120612']
['0x251217925121061521471215313131815510001471011', '0x1375738390', '广电电气', '732351UJVO5BYI7', '威尔泰', '739185FCFOYGHBX', '2020-11-06 10:45:43', '专业发票', '15.4%', 889, 93338, 94227, 4, 2, '8kg', 1604630743973374300, '0x0510656014101613149134']
['0x6131711644141410157521211288140121351498810', '0x1945465899', 'ST岩石', '730457JP1BB2KG5', '昂立教育', '7314705HCSPI4H6', '2020-11-06 10:45:43', '增值税发票', '10.32%', 225, 97667, 97892, 1, 2, '9kg', 1604630743973374300, '0x2114314118142107112119']
['0x5516857111411510311101351014291014315391332413', '0x7541187813', 'ST创兴', '7355809WB7KEIF3', '璞泰来', '7347026SMUGEPV1', '2020-11-06 10:45:43', '普通发票', '18.31%', 627, 70022, 70649, 3, 4, '11kg', 1604630743973374300, '0x11294119143154781510']
['0x1706733638736801215388382510037351211', '0x3495725239', '旗天科技', '739917AU6DQ2Y25', '润达医疗', '736876ODGJOQIS4', '2020-11-06 10:45:43', '普通发票', '10.52%', 646, 104500, 105146, 1, 1, '8kg', 1604630743973374300, '0x227371411521514111101314']
['0x111381161510158941212031514002119936811677', '0x2058069918', '中国核建', '7336417CGJ9SL35', '彤程新材', '731981CVVT1FH75', '2020-11-06 10:45:43', '专业发票', '11.5%', 529, 58109, 58638, 1, 1, '4kg', 1604630743974357600, '0x5141915010034311726']
['0x116124122061312414132313611111515861521012112100', '0x3878546081', '中远海科', '7308634W22HY8N6', '光大证券', '73112946NHRQ5S8', '2020-11-06 10:45:43', '增值税发票', '11.11%', 414, 96534, 96948, 1, 1, '1kg', 1604630743974357600, '0x44063104351081213763']
['0x9128515951385315111151110121310674811691131143', '0x0622211882', '豫园股份', '731065Y3GK86NS1', '申联生物', '730146LCBBRPNT6', '2020-11-06 10:45:43', '普通发票', '15.28%', 1010, 76530, 77540, 3, 2, '3kg', 1604630743974357600, '0x1437139155121925120811']
['0x111231180814111010975831608113113115116141112', '0x5534573872', '同达创业', '7387993UQY50UAX', '安集科技', '737989QKUG99X21', '2020-11-06 10:45:43', '增值税发票', '12.09%', 514, 28799, 29313, 2, 4, '10kg', 1604630743974357600, '0x9230501011111170145']
['0x4812681480106976010571125111155714067103', '0x5551046749', '力盛赛车', '7319402V7M3FSN4', '晨光文具', '732267ECFHFF431', '2020-11-06 10:45:43', '专业发票', '18.14%', 548, 19257, 19805, 3, 2, '4kg', 1604630743974357600, '0x131079103111111121515141214']
['0x13158411113510168912511412141114123107144906154', '0x8465111087', '旗天科技', '739917AU6DQ2Y25', '华铭智能', '732727TKKEQGR27', '2020-11-06 10:45:43', '普通发票', '16.2%', 366, 65999, 66365, 1, 3, '3kg', 1604630743974357600, '0x310564101231401904101']
['0x149612215842128126101071299185637159512134', '0x7076067538', '来伊份', '731694UVDB318EX', '交大昂立', '738418NJ1TLXDE7', '2020-11-06 10:45:43', '专业发票', '17.13%', 1062, 68567, 69629, 4, 4, '10kg', 1604630743974357600, '0x81422817118141416511']
['0x08714510015152969153413212415141481551119618', '0x2284619502', '普元信息', '7359276QNU45K35', '鹏欣资源', '737111PQHNJHRC9', '2020-11-06 10:45:43', '专业发票', '15.31%', 230, 48771, 49001, 2, 4, '1kg', 1604630743974357600, '0x32111312351210441156119']
['0x131231121391211185135511513122141597514913514117', '0x5156005392', '来伊份', '731694UVDB318EX', '复旦复华', '736407SMITD17U7', '2020-11-06 10:45:43', '普通发票', '17.23%', 575, 16321, 16896, 1, 1, '1kg', 1604630743974878300, '0x1143412671410215156121411']
['0x41101191041356144222711015843128118291511158', '0x6282691555', '汇得科技', '733768RX5OM53Q3', '保隆科技', '731114ANPJPBH71', '2020-11-06 10:45:43', '普通发票', '19.55%', 829, 106569, 107398, 3, 4, '4kg', 1604630743974878300, '0x214571381071091010151215']
['0x131015112880137571135101415013141552510533141415', '0x2519408116', '金枫酒业', '735047TV94IS5I8', '交运股份', '7360014M44J7WJ2', '2020-11-06 10:45:43', '增值税发票', '10.57%', 587, 73912, 74499, 1, 4, '1kg', 1604630743974878300, '0x33154311121214861383613']
['0x2136119798145121191310121816313157154151112348', '0x0391523109', '鼎捷软件', '738245L775DFQR4', '荣丰控股', '737462HU9S9DTV8', '2020-11-06 10:45:43', '专业发票', '12.21%', 364, 37062, 37426, 4, 4, '4kg', 1604630743974878300, '0x111113981013331091111131315']
['0x801212771109767131114113718932151096815755', '0x9446855533', '古鳌科技', '735089TDWX0TW69', '新通联', '739024LJUDT83G9', '2020-11-06 10:45:43', '增值税发票', '19.78%', 817, 75483, 76300, 2, 4, '3kg', 1604630743974878300, '0x5151412871131101111210114']
['0x112945101156130415121231011133141214143310121251313', '0x7961861109', '交通银行', '736776U6SW94297', '保隆科技', '731114ANPJPBH71', '2020-11-06 10:45:43', '专业发票', '18.12%', 690, 34297, 34987, 1, 3, '6kg', 1604630743974878300, '0x413523123601561335214']
['0x7121314415120901394147118131057941308681015', '0x9833353533', '春秋航空', '7378857IBHDI7R8', '鸣志电器', '734506A7QUSWDN4', '2020-11-06 10:45:43', '普通发票', '10.4%', 636, 75867, 76503, 1, 2, '2kg', 1604630743974878300, '0x813207013130111487140']
['0x12914041808149811677111363103541123614550', '0x1076781412', '三湘印象', '7387169WWD894R7', '申达股份', '737110Q6DR3E6J8', '2020-11-06 10:45:43', '专业发票', '13.21%', 461, 30669, 31130, 4, 2, '11kg', 1604630743974878300, '0x261096411131518014667']
['0x3351514428125121504331612522525576114315', '0x2775966271', '飞凯材料', '734989THUOVL9R4', '纳尔股份', '7369379YTKT4QD1', '2020-11-06 10:45:43', '增值税发票', '14.61%', 1024, 10860, 11884, 1, 2, '7kg', 1604630743975382000, '0x16080714124101211112515']
['0x6013151131369145836143114151081439751516772', '0x9307603594', '东方创业', '735674C2NN28XK4', '上海天洋', '733441WIOMYM9S4', '2020-11-06 10:45:43', '增值税发票', '12.01%', 425, 90752, 91177, 3, 1, '2kg', 1604630743975382000, '0x6136710104914012141214140']
['0x13100141131146141026121415436230116713961210110', '0x1632211896', '天玑科技', '739093RODNBA4U7', '富瀚微', '731294241FWESA8', '2020-11-06 10:45:43', '专业发票', '16.31%', 902, 32189, 33091, 2, 3, '7kg', 1604630743975382000, '0x211111563101091115151137']
['0x0141210153198010012141239312801443611714310128', '0x9292634083', '密尔克卫', '7397406M1NT7QR0', '中国太保', '7328842Q69Q0QJ1', '2020-11-06 10:45:43', '增值税发票', '10.43%', 973, 85083, 86056, 4, 4, '3kg', 1604630743975382000, '0x1498912402511611915']
['0x1431091114101414133107121226512914108331414611310', '0x4952356216', '世茂股份', '739529HJRYA7T44', '徕木股份', '7373156T606ROC8', '2020-11-06 10:45:43', '增值税发票', '11.83%', 823, 80334, 81157, 3, 1, '7kg', 1604630743975382000, '0x09550140511105415013']
['0x8117121010352188231610101240239118128413139', '0x7402755394', '协鑫集成', '73665460YTH5UA1', '良信电器', '731974JGB72L8C0', '2020-11-06 10:45:43', '专业发票', '11.63%', 605, 51541, 52146, 3, 3, '5kg', 1604630743975382000, '0x085210191533210111112']
['0x714112010161352810671257012885121510815625', '0x2428418968', '妙可蓝多', '731558VRTFVT7F6', '龙宇燃油', '7306245UDIIST56', '2020-11-06 10:45:43', '专业发票', '12.51%', 336, 23074, 23410, 2, 1, '10kg', 1604630743975382000, '0x02137548957191101214']
['0x114814921110112891512941214713431415311435612', '0x4402717259', '中颖电子', '739439P60C8CSO6', '上海九百', '731115X7YEW5BL0', '2020-11-06 10:45:43', '增值税发票', '18.55%', 987, 76088, 77075, 3, 1, '11kg', 1604630743975382000, '0x59101413115813105155011']
['0x9121314462121213748715115555321012101141592', '0x7640678986', '神奇制药', '738595P09I2CIP8', '昂立教育', '7314705HCSPI4H6', '2020-11-06 10:45:43', '普通发票', '14.49%', 651, 94859, 95510, 3, 1, '9kg', 1604630743975382000, '0x1491351384571341213763']
['0x1291110116349012921152129571415157150126101120', '0x9862104401', '中远海科', '7308634W22HY8N6', '中国船舶', '7399465MHRXA5K5', '2020-11-06 10:45:43', '增值税发票', '18.79%', 1080, 98379, 99459, 3, 4, '8kg', 1604630743975382000, '0x14113411151201551141315810']
['0x141115941113102141515101198166149785411101146612', '0x2332160652', '汇得科技', '733768RX5OM53Q3', '华测导航', '738555MC5WN8P17', '2020-11-06 10:45:43', '普通发票', '15.97%', 666, 50812, 51478, 3, 1, '4kg', 1604630743975382000, '0x41315111521486841087']
['0x133907392104111491015961398912144976082', '0x3001994995', '安集科技', '737989QKUG99X21', '上海梅林', '730115CTYLL1220', '2020-11-06 10:45:43', '专业发票', '12.98%', 675, 87596, 88271, 2, 4, '6kg', 1604630743975382000, '0x1258256925615101212711']
['0x13131015801360713131121598131414471510481792013', '0x7101922543', '光明乳业', '733392XGO2IXJC1', '宏达矿业', '734030770NJEHB8', '2020-11-06 10:45:43', '专业发票', '17.63%', 543, 93796, 94339, 4, 1, '9kg', 1604630743975382000, '0x1510412329710721314935']
['0x035971015081112006159785401413700112112115', '0x1755485727', '上海电力', '738335WE7B8HYJ9', '矩子科技', '731234LM4MKOAQ1', '2020-11-06 10:45:43', '普通发票', '10.34%', 669, 85744, 86413, 2, 2, '1kg', 1604630743975382000, '0x15130041410141511293178']
['0x141472211051153121214713731581016653603361', '0x5535111412', '上海能源', '7301500XLP6F144', '安诺其', '7398825GAOGR6R5', '2020-11-06 10:45:43', '普通发票', '14.91%', 1036, 97094, 98130, 4, 1, '9kg', 1604630743975382000, '0x1211512120614125118261015']
['0x521012791103112111410155146811259480138157', '0x2200341012', '交运股份', '7360014M44J7WJ2', '万达信息', '7324609HBLXQ8M9', '2020-11-06 10:45:43', '普通发票', '17.87%', 202, 61231, 61433, 1, 4, '4kg', 1604630743975382000, '0x4131029336131310068126']
['0x152640102430151137211338914101211288015313', '0x1507019135', '协鑫集成', '73665460YTH5UA1', '光明乳业', '733392XGO2IXJC1', '2020-11-06 10:45:43', '专业发票', '11.2%', 913, 92928, 93841, 3, 4, '2kg', 1604630743975382000, '0x1132121212129701314063']
['0x17115143113128815892815144152159713911014910', '0x3443026270', '科博达', '734084BYDM98AE7', '光明地产', '734710V7233GV56', '2020-11-06 10:45:43', '普通发票', '19.38%', 1089, 92750, 93839, 2, 2, '2kg', 1604630743976387300, '0x2551221515331212127140']
['0x148512642310311601344113928456111469127213', '0x0352785583', '风语筑', '7361005EPY6I8A9', '飞科电器', '734492OBVOW2BE8', '2020-11-06 10:45:43', '增值税发票', '16.61%', 1049, 43713, 44762, 3, 2, '4kg', 1604630743976387300, '0x15099727128123141015']
['0x031421131414037770139114131402114479313956', '0x0905954756', '上海雅仕', '730489Y87PHI0G5', '富瀚微', '731294241FWESA8', '2020-11-06 10:45:43', '专业发票', '17.67%', 719, 74975, 75694, 3, 3, '10kg', 1604630743976387300, '0x14110791311113100111210105']
['0x574711812615537051912791019392847101186', '0x4779736841', '上海机电', '739017PGDOY03Y9', '中国太保', '7328842Q69Q0QJ1', '2020-11-06 10:45:43', '增值税发票', '15.96%', 638, 59043, 59681, 3, 2, '2kg', 1604630743976387300, '0x10414114151431096101']
['0x171012212314813281291161381111351014101306815', '0x2715196275', '全筑股份', '733576F5SD6NC45', 'ST长投', '733374B9KLS6S06', '2020-11-06 10:45:43', '普通发票', '15.54%', 633, 98318, 98951, 2, 4, '9kg', 1604630743976387300, '0x1486111511365511231363']
['0x1214101181012261913762315567212154141478151288', '0x3465714953', '环旭电子', '736512YSS67YA6X', '水星家纺', '737158JDC38B944', '2020-11-06 10:45:43', '普通发票', '19.99%', 746, 66080, 66826, 2, 3, '11kg', 1604630743976387300, '0x11811211159310101115151013']
['0x131320761510151515510201326615212051431553913', '0x5219987248', '锦江投资', '733051IJCDIHO36', '万达信息', '7324609HBLXQ8M9', '2020-11-06 10:45:43', '增值税发票', '17.47%', 616, 75176, 75792, 2, 1, '6kg', 1604630743976387300, '0x619001012614291201460']
['0x11514107712117942154159241391315131545119441510', '0x1834224222', '中国太保', '7328842Q69Q0QJ1', '光明地产', '734710V7233GV56', '2020-11-06 10:45:43', '专业发票', '10.65%', 741, 32128, 32869, 4, 1, '10kg', 1604630743976387300, '0x131410109016413107131576']
['0x434078151113121151201537131913141521451113118', '0x7848651923', '上港集团', '730093PMES3ICQ8', '欧普照明', '732181O2IWRQ7P1', '2020-11-06 10:45:43', '增值税发票', '17.1%', 254, 11984, 12238, 2, 3, '10kg', 1604630743976387300, '0x878111920721150824']
['0x8111110412141485625171471441471243811861397', '0x2552702976', '金桥信息', '734241B9GRK34C8', '中远海能', '738928DPR7U5658', '2020-11-06 10:45:43', '专业发票', '16.43%', 403, 106534, 106937, 1, 2, '5kg', 1604630743976387300, '0x0126101152810151069792']
['0x131014191197327114151567224258671158107114', '0x8494295262', '新黄浦', '733850EXAHMGYJ1', '龙宇燃油', '7306245UDIIST56', '2020-11-06 10:45:43', '增值税发票', '13.73%', 699, 79266, 79965, 1, 1, '3kg', 1604630743976387300, '0x3918019124129112111115']
['0x45007051551010087277315699151112132149433', '0x3938299788', '翔港科技', '737570R8NXR99FX', '普利特', '733135P67MTGUG0', '2020-11-06 10:45:43', '增值税发票', '19.16%', 148, 60929, 61077, 3, 3, '5kg', 1604630743976387300, '0x32114712171314613141512']
['0x1315914131296373121115116151014131491087130413076', '0x4381190379', '上海临港', '733845U5RN6RSK5', '号百控股', '730460TU01YHP88', '2020-11-06 10:45:43', '普通发票', '12.48%', 785, 45517, 46302, 1, 1, '2kg', 1604630743976387300, '0x7122915221529498151012']
