['0x55114013152588910956813910102115718105111', '0x7660452519', '克来机电', '731077BFO5WFVE0', '力盛赛车', '7319402V7M3FSN4', '2020-11-06 10:45:43', '普通发票', '15.48%', 491, 75552, 76043, 2, 2, '7kg', 1604630743902777200, '0x513139334121141231312115']
['0x2109106112915145113126671071513113101523811215', '0x5374117679', '沃施股份', '739108USVBJMV83', '招商轮船', '736591EPX2ELQE9', '2020-11-06 10:45:43', '普通发票', '18.93%', 779, 70467, 71246, 3, 3, '10kg', 1604630743904782000, '0x1148118147141114610910']
['0x14957171090147488144278136131111215501358', '0x1289012001', '澜起科技', '7365513E7BVS5P8', '彤程新材', '731981CVVT1FH75', '2020-11-06 10:45:43', '增值税发票', '19.81%', 1057, 78779, 79836, 1, 4, '9kg', 1604630743904782000, '0x44694101431761213897']
['0x150130068143135119531021063111513110615313115', '0x3360649375', '东方创业', '735674C2NN28XK4', '心脉医疗', '737353FBNQSLS11', '2020-11-06 10:45:43', '普通发票', '12.15%', 474, 12092, 12566, 4, 4, '7kg', 1604630743904782000, '0x1045112831164912110129']
['0x18110813281791145151113978015137107840459', '0x2175690385', '上海医药', '733219HT9S541Y4', '上海洗霸', '730623QPOXS2QF0', '2020-11-06 10:45:43', '普通发票', '17.44%', 138, 45416, 45554, 4, 4, '6kg', 1604630743904782000, '0x7021215121513863154119']
['0x5101315130515741215581489431127151521013710512', '0x3567529864', '大智慧', '737166PKJ1ISGX7', '雅运股份', '7320064G5K6KY09', '2020-11-06 10:45:43', '普通发票', '19.18%', 688, 86488, 87176, 3, 1, '1kg', 1604630743904782000, '0x92205157331241125311']
['0x71126115953411111361150653128951415134211511', '0x6557916631', '创力集团', '735457QC618NR54', '开创国际', '730359CMXQXO4D9', '2020-11-06 10:45:43', '专业发票', '12.14%', 405, 27260, 27665, 3, 1, '10kg', 1604630743906074500, '0x81515151581813120111484']
['0x513151581145050138111490112780511415466', '0x3991726178', '交通银行', '736776U6SW94297', '万业企业', '7388015IALW219X', '2020-11-06 10:45:43', '增值税发票', '13.78%', 309, 36068, 36377, 3, 3, '9kg', 1604630743906074500, '0x371510021491311121131130']
['0x45065131314560133121564275116120013111015117', '0x4419961770', '爱婴室', '7341497UIITXW01', '上海电气', '732454E9VPUAL76', '2020-11-06 10:45:43', '普通发票', '15.2%', 210, 51971, 52181, 1, 2, '9kg', 1604630743906074500, '0x14403983411015597210']
['0x4710153144131192150143599154915584568764', '0x1084043804', '上海家化', '737825I51MLRB77', '海立股份', '734075SM23UXDT4', '2020-11-06 10:45:43', '专业发票', '14.44%', 640, 14329, 14969, 1, 4, '7kg', 1604630743906074500, '0x011910151259941057914']
['0x8711741101121812928685514039151471315121', '0x8628007014', '威派格', '732934IEPT3VCR2', '锦江酒店', '730688D1J3XCAC0', '2020-11-06 10:45:43', '专业发票', '12.71%', 532, 40447, 40979, 1, 3, '10kg', 1604630743906074500, '0x6360311613621512131213']
['0x130151210701511131114410771043897234100234137', '0x9053048062', '永利股份', '738082QB080WVA3', '神开股份', '736219HEXL3WNW6', '2020-11-06 10:45:43', '专业发票', '14.73%', 247, 19935, 20182, 1, 3, '2kg', 1604630743906074500, '0x431178663913512131528']
['0x310101415421312981213141411312101149862391211119', '0x1101959741', '亚士创能', '7383016GDI3XSU2', '同达创业', '7387993UQY50UAX', '2020-11-06 10:45:43', '普通发票', '16.95%', 216, 44832, 45048, 2, 2, '5kg', 1604630743906074500, '0x131113810131110619814218']
['0x4149418101512595501587214812816114691121414', '0x1798737629', '永冠新材', '732606QA6Y4MCP0', '中华企业', '73915701H5QLXT6', '2020-11-06 10:45:43', '增值税发票', '11.04%', 966, 28738, 29704, 3, 3, '10kg', 1604630743906580800, '0x5107128163414141147156']
['0x95101041429153128131200155914111181281041120144', '0x4213468756', '汉得信息', '735830YQTWOXGO3', '岱美股份', '7377832LFXY42B8', '2020-11-06 10:45:43', '增值税发票', '18.19%', 1081, 67508, 68589, 1, 2, '6kg', 1604630743906669500, '0x1314357941112121531114104']
['0x92314121145608125134651544911111461837714', '0x4179219282', '浦东建设', '738720DNQRDAFL6', '上海雅仕', '730489Y87PHI0G5', '2020-11-06 10:45:43', '普通发票', '15.49%', 531, 51196, 51727, 3, 3, '8kg', 1604630743906669500, '0x915103332111222122211']
['0x8362431310151411019119036791591014215628', '0x3039169447', '安科瑞', '738566C559JDY68', '科大智能', '732830VVL5VSYY1', '2020-11-06 10:45:43', '普通发票', '15.99%', 137, 77996, 78133, 3, 3, '5kg', 1604630743906669500, '0x6111783839461314676']
['0x132011813122148441171111267112669505421255', '0x1802289253', '光明乳业', '733392XGO2IXJC1', '安信信托', '730117JGDPQ0IC8', '2020-11-06 10:45:43', '普通发票', '19.86%', 138, 54859, 54997, 2, 4, '10kg', 1604630743906669500, '0x70611913161564147295']
['0x973111131399512141113149671011118911701512100610', '0x1432977061', '国投资本', '733019TIKK775I8', '百联股份', '733459OUGAJ3EC1', '2020-11-06 10:45:43', '专业发票', '16.32%', 1074, 65847, 66921, 4, 4, '11kg', 1604630743906669500, '0x111911831443821938']
['0x12043145734101401014112756121410114811469384', '0x2714074225', '新世界', '735041XLVYVCLT7', '日播时尚', '737677E8S3MAXTX', '2020-11-06 10:45:43', '专业发票', '10.89%', 1086, 90128, 91214, 2, 2, '5kg', 1604630743906669500, '0x221010601401261059403']
['0x21161101301511141280128144133515681721514001112', '0x8377800605', '古鳌科技', '735089TDWX0TW69', '国投资本', '733019TIKK775I8', '2020-11-06 10:45:43', '增值税发票', '11.52%', 428, 29572, 30000, 2, 3, '10kg', 1604630743906669500, '0x14498123915615505331']
['0x9434951469897315103811811865408227906', '0x0986678802', '韦尔股份', '736468S7WQUKDC0', '上海瀚讯', '7388580KH1G8XC2', '2020-11-06 10:45:43', '专业发票', '17.54%', 940, 69856, 70796, 1, 1, '7kg', 1604630743906669500, '0x1557111320713120851418']
['0x1448145081214731088101151231414331150101510052', '0x0311263657', '上海三毛', '735105XB25JAT55', '海欣股份', '735730MIQ0ALLJ4', '2020-11-06 10:45:43', '普通发票', '19.55%', 189, 89677, 89866, 4, 3, '9kg', 1604630743907173900, '0x44721412780991541476']
['0x101512698109917315101343101527159214961091472', '0x2596672267', '上海沪工', '735445NUVO6HK44', '澜起科技', '7365513E7BVS5P8', '2020-11-06 10:45:43', '普通发票', '19.55%', 677, 56507, 57184, 3, 4, '4kg', 1604630743907173900, '0x08101476122111115411128']
['0x20615757176114511213851511604315121121596', '0x6735144331', '北特科技', '7331264G7YJI7B9', '协鑫集成', '73665460YTH5UA1', '2020-11-06 10:45:43', '普通发票', '18.56%', 825, 97202, 98027, 4, 3, '4kg', 1604630743907173900, '0x1493141218108196913812']
['0x15141211911998515215213121510135145101212541191132', '0x9325441851', '交大昂立', '738418NJ1TLXDE7', '置信电气', '7334654QCYJT384', '2020-11-06 10:45:43', '增值税发票', '14.59%', 228, 63536, 63764, 2, 1, '4kg', 1604630743907173900, '0x603822681311961433']
['0x21144760711001114116151061313121303131390141312', '0x4715139479', '东方财富', '7373367NFM873UX', '宝钢包装', '732110OOWW63K24', '2020-11-06 10:45:43', '普通发票', '19.19%', 748, 103104, 103852, 2, 1, '3kg', 1604630743907173900, '0x315791010691372116714']
['0x1471301123314112501112615101371221347514763121', '0x2631098599', '海通证券', '734316Y2KXBNEDX', '泰胜风能', '7329333SBDVNC8X', '2020-11-06 10:45:43', '普通发票', '10.27%', 218, 93267, 93485, 1, 3, '1kg', 1604630743907173900, '0x111412393814811725388']
['0x104897117158191114151011781591210141461012911211', '0x6411482183', '安集科技', '737989QKUG99X21', '新世界', '735041XLVYVCLT7', '2020-11-06 10:45:43', '普通发票', '19.05%', 190, 97388, 97578, 2, 3, '9kg', 1604630743907173900, '0x1410151115110291512511812']
['0x0127456984131141013132101029613116151178148911', '0x9689044456', '安诺其', '7398825GAOGR6R5', '信息发展', '732897N308J4BK4', '2020-11-06 10:45:43', '专业发票', '14.95%', 208, 88092, 88300, 3, 3, '7kg', 1604630743907173900, '0x2614435325123311121112']
['0x148185149815110103916715144615156270154894', '0x0936773276', '联明股份', '7357429TSAEJXD6', '振华重工', '7304037HH6A8XM6', '2020-11-06 10:45:43', '增值税发票', '12.31%', 198, 103235, 103433, 2, 1, '2kg', 1604630743907173900, '0x137110414928811252511']
['0x1120132101515222901664313111245561013525112', '0x5537643791', '龙宇燃油', '7306245UDIIST56', '华东电脑', '736559JEEJJU3B7', '2020-11-06 10:45:43', '专业发票', '17.0%', 330, 59648, 59978, 1, 1, '3kg', 1604630743907173900, '0x494815141321414133121492']
['0x910912125131121442562157113085151130984813', '0x9418488463', '永冠新材', '732606QA6Y4MCP0', '荣丰控股', '737462HU9S9DTV8', '2020-11-06 10:45:43', '普通发票', '14.31%', 370, 94831, 95201, 1, 1, '5kg', 1604630743907173900, '0x1131410375155713169310']
['0x015815310141215514111514036315121414641514104109', '0x8220847514', '上海洗霸', '730623QPOXS2QF0', '美迪西', '73565890PDDO093', '2020-11-06 10:45:43', '增值税发票', '19.9%', 631, 104310, 104941, 4, 4, '8kg', 1604630743907173900, '0x13112408140712556236']
['0x88161314136121126611124513207815131415710139113', '0x5488289971', '普利特', '733135P67MTGUG0', '美邦服饰', '734878VQ2382VF6', '2020-11-06 10:45:43', '增值税发票', '17.51%', 724, 71264, 71988, 1, 4, '6kg', 1604630743907173900, '0x111461313862465511895']
['0x111813271005711746912781140002209121224', '0x4021126727', '市北高新', '734297CCHAGU0A2', '剑桥科技', '730572JDQHTPX05', '2020-11-06 10:45:43', '增值税发票', '16.42%', 619, 57270, 57889, 3, 1, '4kg', 1604630743907173900, '0x6741314558145147051210']
['0x662207315159748312791140150699522711812', '0x0204150138', '东方明珠', '737278RMY1Y6001', '隧道股份', '7332763RDE6X229', '2020-11-06 10:45:43', '专业发票', '15.45%', 746, 23030, 23776, 3, 4, '3kg', 1604630743908181400, '0x87010515215430111015100']
['0x13989136131293361101221310112121112101014812134', '0x1942299989', 'ST中安', '737455LFIPCUEE4', '恒为科技', '7329568NWIBM1B3', '2020-11-06 10:45:43', '增值税发票', '17.36%', 688, 63537, 64225, 2, 1, '1kg', 1604630743908181400, '0x1212141410625631214814141']
['0x121314280938921151364111551014081113414811074', '0x4837631799', '上海医药', '733219HT9S541Y4', '华谊集团', '734111DBL850569', '2020-11-06 10:45:43', '专业发票', '18.49%', 939, 66301, 67240, 2, 2, '2kg', 1604630743908181400, '0x31434311129134123662']
['0x4331110390071001412972613151514140147151140', '0x6659833313', '拉夏贝尔', '73292660BSX7AIX', '云赛智联', '733225S2NFVR7W6', '2020-11-06 10:45:43', '普通发票', '16.84%', 483, 98597, 99080, 2, 2, '7kg', 1604630743908181400, '0x13311101591111124195912']
['0x471110142384111124110283812114136585549413', '0x4558845654', '春秋航空', '7378857IBHDI7R8', '隧道股份', '7332763RDE6X229', '2020-11-06 10:45:43', '普通发票', '15.66%', 296, 50007, 50303, 1, 4, '11kg', 1604630743908181400, '0x128515125140135158121209']
['0x1211121413261111712710240411101010414910105108514', '0x9551518613', '兰生股份', '736554N381OWVN8', '上海环境', '738233PBCS3DBL3', '2020-11-06 10:45:43', '普通发票', '10.3%', 886, 70600, 71486, 4, 4, '8kg', 1604630743908181400, '0x512712283513012191579']
['0x44828113212041212481131041331061011514246135', '0x6010043128', '良信电器', '731974JGB72L8C0', '上海物贸', '733037YEJG1PBI9', '2020-11-06 10:45:43', '普通发票', '10.78%', 329, 40273, 40602, 1, 4, '8kg', 1604630743908181400, '0x648414149154811353']
['0x831403459690105603603172147221188124', '0x6147780496', '威派格', '732934IEPT3VCR2', '克来机电', '731077BFO5WFVE0', '2020-11-06 10:45:43', '普通发票', '13.95%', 954, 61152, 62106, 3, 2, '6kg', 1604630743908181400, '0x14111215124513135495851']
['0x122126111171513510128152564106110981213129343', '0x3639396592', '恒为科技', '7329568NWIBM1B3', '广电电气', '732351UJVO5BYI7', '2020-11-06 10:45:43', '普通发票', '11.36%', 817, 22653, 23470, 3, 1, '11kg', 1604630743908181400, '0x2134614213111165111991']
['0x373313451397191592140712921203440527148', '0x2054077830', '上汽集团', '739487RMLNASKP9', '三爱富', '731154VB73S8NY0', '2020-11-06 10:45:43', '普通发票', '14.62%', 476, 17764, 18240, 4, 3, '9kg', 1604630743908181400, '0x1278101012410451012621']
['0x4131475011045111421481511151562412101421112110011', '0x3259139929', '中国太保', '7328842Q69Q0QJ1', '广电电气', '732351UJVO5BYI7', '2020-11-06 10:45:43', '增值税发票', '15.35%', 300, 84895, 85195, 4, 3, '1kg', 1604630743908181400, '0x11121521517110114410414']
['0x485126121101115561434131231131257131510289691', '0x9510225332', '光大证券', '73112946NHRQ5S8', '大名城', '731979HS4YE90X5', '2020-11-06 10:45:43', '增值税发票', '12.33%', 808, 22082, 22890, 2, 1, '9kg', 1604630743908181400, '0x2491213863216934415']
['0x6131861051351302091115111001150101123643155', '0x1803975334', '上海天洋', '733441WIOMYM9S4', '绿地控股', '733334NWC4DL569', '2020-11-06 10:45:43', '普通发票', '16.34%', 1060, 33322, 34382, 4, 4, '4kg', 1604630743908181400, '0x66151091357823106131510']
['0x51511111314625715111214646101115111413098101389113', '0x7339896221', '爱普股份', '7385691CXW3L5B6', '强生控股', '737120FLLHCKL70', '2020-11-06 10:45:43', '普通发票', '17.31%', 448, 42084, 42532, 4, 1, '11kg', 1604630743908181400, '0x14202211135130712121281']
['0x10315014814581315615811210214236120661267111', '0x1544023800', '开开实业', '7311720HCR3HQT4', '至纯科技', '730833CX5DIKC40', '2020-11-06 10:45:43', '普通发票', '15.8%', 366, 42262, 42628, 2, 1, '4kg', 1604630743908181400, '0x74011541516157012830']
['0x1461712912115141481514122915131012456813154613', '0x4301289655', '浦东建设', '738720DNQRDAFL6', '天宸股份', '73679221H4MFHJ8', '2020-11-06 10:45:43', '专业发票', '10.97%', 863, 45343, 46206, 2, 3, '6kg', 1604630743909179300, '0x81413115711410456411711']
['0x1022871337153101161377810495133701404403', '0x4602182054', '中化国际', '739874L8BDK4J56', '界龙实业', '737656V70L17144', '2020-11-06 10:45:43', '普通发票', '11.05%', 343, 108397, 108740, 3, 1, '5kg', 1604630743909179300, '0x1083410120108912151221511']
['0x9139110121215141513213311071349071123149228810', '0x0940437486', '兰生股份', '736554N381OWVN8', '上海天洋', '733441WIOMYM9S4', '2020-11-06 10:45:43', '增值税发票', '18.0%', 350, 75888, 76238, 1, 3, '7kg', 1604630743909179300, '0x113988015401112145715']
['0x219944841415129101121512711613267031471358', '0x2701711213', '上海新阳', '730561WBXHCUJ4X', '上海凯宝', '739536F7QW2K8R9', '2020-11-06 10:45:43', '专业发票', '17.84%', 316, 62238, 62554, 3, 4, '7kg', 1604630743909179300, '0x9212111271502031513217']
['0x13124156101111352140101119131221210131182251314125', '0x5045664042', '摩恩电气', '735324TP9IO6X53', '徕木股份', '7373156T606ROC8', '2020-11-06 10:45:43', '增值税发票', '11.46%', 323, 107774, 108097, 1, 4, '7kg', 1604630743909179300, '0x85612110151691354523']
['0x21315011105865314715813057113348914101336', '0x6998552708', '格尔软件', '7356204QBST0040', '透景生命', '736446KTH55TKQ3', '2020-11-06 10:45:43', '专业发票', '12.77%', 957, 81109, 82066, 1, 4, '10kg', 1604630743909179300, '0x381215673111015678210']
['0x51253515008514717147402253117060159132', '0x9288147734', 'ST运盛', '73292259D8HIEYX', '永利股份', '738082QB080WVA3', '2020-11-06 10:45:43', '增值税发票', '13.99%', 1054, 94701, 95755, 4, 4, '5kg', 1604630743909179300, '0x6110121214115405415118']
['0x101459136505013801236150144714161561388814', '0x7104330116', '上海机场', '736805HWF9QNNC5', '二三四五', '733586OLXQYVX56', '2020-11-06 10:45:43', '普通发票', '13.14%', 312, 62676, 62988, 4, 4, '6kg', 1604630743909179300, '0x15299609149103534140']
['0x1981671311310117111111228153961515113847513', '0x5956732422', '汇纳科技', '739027AR27XJQ5X', '东方财富', '7373367NFM873UX', '2020-11-06 10:45:43', '增值税发票', '10.97%', 865, 87931, 88796, 2, 3, '6kg', 1604630743909179300, '0x5101110012815205836211']
['0x116153814832813140702145845735710963129', '0x3160939873', '爱婴室', '7341497UIITXW01', '锦江酒店', '730688D1J3XCAC0', '2020-11-06 10:45:43', '普通发票', '18.04%', 378, 107930, 108308, 3, 3, '7kg', 1604630743909179300, '0x2210911111304319013114']
['0x125711413155981151560100537221011611138131531', '0x7470071054', '大智慧', '737166PKJ1ISGX7', '安诺其', '7398825GAOGR6R5', '2020-11-06 10:45:43', '增值税发票', '11.77%', 475, 100507, 100982, 2, 2, '11kg', 1604630743909179300, '0x712103101102147714131282']
['0x07101101436111214411215810701141315111021453613', '0x2681536175', '老凤祥', '731697K29NY5VX7', '纳尔股份', '7369379YTKT4QD1', '2020-11-06 10:45:43', '增值税发票', '10.97%', 640, 40763, 41403, 3, 2, '1kg', 1604630743909179300, '0x951310112148581312011100']
['0x01238612100107138131496101136013591155301466', '0x8374130447', '全筑股份', '733576F5SD6NC45', '天玑科技', '739093RODNBA4U7', '2020-11-06 10:45:43', '专业发票', '14.29%', 917, 51101, 52018, 4, 1, '6kg', 1604630743909179300, '0x3159910413471071161359']
['0x14134406101215151576211052847010106131514102914', '0x4632910212', '上工申贝', '734630V36POYMC2', '上海电气', '732454E9VPUAL76', '2020-11-06 10:45:43', '普通发票', '16.37%', 550, 100658, 101208, 4, 2, '3kg', 1604630743909179300, '0x2711515134714010151312813']
['0x460131111445355150378137878141383182562', '0x9220531594', '飞乐音响', '7301833GPSWEYF3', '三爱富', '731154VB73S8NY0', '2020-11-06 10:45:43', '专业发票', '17.46%', 262, 72083, 72345, 1, 4, '9kg', 1604630743910178900, '0x02151314141371335575213']
['0x7153151410131256915315473910737261010691451211', '0x2857855414', '维宏股份', '734905HMDA7PDF9', '亚士创能', '7383016GDI3XSU2', '2020-11-06 10:45:43', '专业发票', '18.98%', 724, 102124, 102848, 1, 2, '11kg', 1604630743910178900, '0x12299146138361213614128']
['0x515515681116122341576353624211271081134', '0x7440133498', '康达新材', '7391739NQT6ROD9', '光大嘉宝', '730415FUU5METM0', '2020-11-06 10:45:43', '专业发票', '15.51%', 313, 40888, 41201, 4, 2, '1kg', 1604630743910178900, '0x102371012871312614714113']
['0x671521214134131211514751414001411546136119139412', '0x4486679178', '外高桥', '731535U96US9ER7', '网宿科技', '7337180P2X6PUS6', '2020-11-06 10:45:43', '专业发票', '18.42%', 749, 33591, 34340, 4, 1, '9kg', 1604630743910178900, '0x85133101256149137911106']
['0x1413255714369925133967614136933367121588', '0x2365524306', '大名城', '731979HS4YE90X5', '海顺新材', '734748UAO3E7SC3', '2020-11-06 10:45:43', '专业发票', '16.22%', 509, 67668, 68177, 4, 3, '10kg', 1604630743910178900, '0x913291112124135121621513']
['0x6311811210971714146399151510554405110125', '0x7637139321', '神奇制药', '738595P09I2CIP8', '城地股份', '737145NMSSW1CK1', '2020-11-06 10:45:43', '普通发票', '12.33%', 672, 62160, 62832, 2, 1, '9kg', 1604630743910178900, '0x144131215131512123566117']
['0x0131561512301028141037141212140143141314120104', '0x2572861789', '华测导航', '738555MC5WN8P17', '金桥信息', '734241B9GRK34C8', '2020-11-06 10:45:43', '普通发票', '16.04%', 130, 104425, 104555, 4, 1, '2kg', 1604630743910178900, '0x14140815114151531370436']
