['0x24141441110881521513014171431151551415413610', '0x8829939454', '摩恩电气', '735324TP9IO6X53', '大众交通', '733492JTWEWF2Y1', '2020-11-06 10:45:43', '专业发票', '16.51%', 619, 66628, 67247, 1, 4, '5kg', 1604630743895703000, '0x101361315135015114177106']
['0x1251463910121101059137129855910361091391111114', '0x4043345702', '上实发展', '735615U0QXPTMP6', '隧道股份', '7332763RDE6X229', '2020-11-06 10:45:43', '增值税发票', '12.74%', 559, 100525, 101084, 4, 3, '10kg', 1604630743896703300, '0x115151211159155121062510']
['0x0131212463105211414611111438410131110133441151511', '0x0505107239', '新世界', '735041XLVYVCLT7', '宝钢包装', '732110OOWW63K24', '2020-11-06 10:45:43', '普通发票', '19.0%', 851, 40483, 41334, 3, 4, '1kg', 1604630743896703300, '0x954329101110310715014']
['0x1498950153241297112101381181114100645511511', '0x2381083009', '上汽集团', '739487RMLNASKP9', 'ST创兴', '7355809WB7KEIF3', '2020-11-06 10:45:43', '增值税发票', '18.95%', 547, 100704, 101251, 3, 4, '4kg', 1604630743896703300, '0x71441210781401314110323']
['0x101014110111556532231010713159119156135678075', '0x6509743270', '上港集团', '730093PMES3ICQ8', '韦尔股份', '736468S7WQUKDC0', '2020-11-06 10:45:43', '普通发票', '16.04%', 254, 79207, 79461, 2, 3, '4kg', 1604630743896703300, '0x71457123326261215093']
['0x1310215152151351550471599401131210151331351326', '0x5207448166', '新文化', '732516K86BH9EY0', '亚通股份', '737707HEPL9AF52', '2020-11-06 10:45:43', '增值税发票', '19.5%', 264, 33651, 33915, 1, 2, '5kg', 1604630743896703300, '0x7122312131425514321350']
['0x208132121011151014510510415611855214010101311', '0x0441169559', '三湘印象', '7387169WWD894R7', '环旭电子', '736512YSS67YA6X', '2020-11-06 10:45:43', '增值税发票', '16.8%', 569, 67537, 68106, 3, 3, '1kg', 1604630743896703300, '0x917156645143112281513']
['0x5012810612130942151011111391148131281359141114', '0x8995369299', '中远海发', '734338ULCG7TM33', '徐家汇', '7365211MU3P3P5X', '2020-11-06 10:45:43', '普通发票', '18.22%', 868, 37500, 38368, 3, 2, '10kg', 1604630743896703300, '0x491511314119610739992']
['0x1121969314102610021115014561443034111115136', '0x3824698431', '市北高新', '734297CCHAGU0A2', '复星医药', '731896L35F0EW76', '2020-11-06 10:45:43', '普通发票', '18.88%', 279, 91909, 92188, 2, 4, '9kg', 1604630743896703300, '0x1216613153961425701110']
['0x131121000014111381588153412115138151081536', '0x9616222591', '上海莱士', '738228RGSDL42H5', '安科瑞', '738566C559JDY68', '2020-11-06 10:45:43', '专业发票', '11.06%', 380, 96573, 96953, 1, 1, '11kg', 1604630743896703300, '0x16101605156641413308']
['0x51092431015131111071411159536121514815111039140', '0x4548695308', '申能股份', '7348453LGJDBTX0', '上海亚虹', '730749V2MF4FUD7', '2020-11-06 10:45:43', '普通发票', '11.16%', 823, 107991, 108814, 4, 1, '10kg', 1604630743896703300, '0x11514109101551286211159']
['0x57213118141240513814914109331191530121530450', '0x9522185976', '悦心健康', '7342506SXUSOGI0', '外高桥', '731535U96US9ER7', '2020-11-06 10:45:43', '增值税发票', '16.05%', 297, 66331, 66628, 3, 1, '6kg', 1604630743896703300, '0x211811510141491115111415151']
['0x810095701163146111011410563726120412146117', '0x3992248539', '联明股份', '7357429TSAEJXD6', '上海石化', '73810463XNW9XX5', '2020-11-06 10:45:43', '专业发票', '16.0%', 386, 33878, 34264, 2, 2, '4kg', 1604630743896703300, '0x11438014153101313131212139']
['0x5111107210415808109601415411111021291445144114', '0x9002305261', 'ST富控', '73114966NG61T88', '锦江投资', '733051IJCDIHO36', '2020-11-06 10:45:43', '普通发票', '15.5%', 305, 29549, 29854, 4, 2, '4kg', 1604630743896703300, '0x544110131381156361022']
['0x1210118121112788371151314414141391110203152141438', '0x7999958942', '航天机电', '733046K6PK2SFB4', '同济科技', '738966V2M5LEBF3', '2020-11-06 10:45:43', '普通发票', '17.21%', 445, 47523, 47968, 1, 1, '1kg', 1604630743896703300, '0x05414515111162710712511']
['0x11942131201113201381315135813128101012137015808', '0x0753138605', '网宿科技', '7337180P2X6PUS6', '宏达矿业', '734030770NJEHB8', '2020-11-06 10:45:43', '普通发票', '16.8%', 1028, 66433, 67461, 2, 2, '8kg', 1604630743897736400, '0x71313141013121060109911136']
['0x933377081426767769111145131144621291101', '0x8906148637', '交通银行', '736776U6SW94297', '汇纳科技', '739027AR27XJQ5X', '2020-11-06 10:45:43', '增值税发票', '10.21%', 745, 32660, 33405, 2, 3, '7kg', 1604630743897736400, '0x8151015100103013111200133']
['0x222151111121114313111131215734791215315395143', '0x1021677732', '博通集成', '738070D71LJHAB5', '汇通能源', '738253SK8AWND94', '2020-11-06 10:45:43', '增值税发票', '16.05%', 1014, 62113, 63127, 3, 1, '7kg', 1604630743897736400, '0x147968115091000710413']
['0x10981117161112456153125115410362131451291080', '0x8705781829', '亚士创能', '7383016GDI3XSU2', '汇纳科技', '739027AR27XJQ5X', '2020-11-06 10:45:43', '专业发票', '15.01%', 928, 86263, 87191, 1, 1, '3kg', 1604630743897736400, '0x87216611131437571133']
['0x114141001399613129412713573859372988131439', '0x3261435904', '上海电气', '732454E9VPUAL76', '上海莱士', '738228RGSDL42H5', '2020-11-06 10:45:43', '普通发票', '16.86%', 891, 88820, 89711, 3, 2, '7kg', 1604630743897736400, '0x13513319961501315231211']
['0x1413487139115571512141460254606311533150135', '0x9040379211', '置信电气', '7334654QCYJT384', '来伊份', '731694UVDB318EX', '2020-11-06 10:45:43', '增值税发票', '12.96%', 525, 73405, 73930, 1, 1, '10kg', 1604630743897736400, '0x081211551539125412111213']
['0x3541261515154149108111154561115141507978802', '0x2725702091', '鼎捷软件', '738245L775DFQR4', '凯利泰', '739016XI5KO3BU8', '2020-11-06 10:45:43', '专业发票', '15.14%', 284, 70583, 70867, 4, 2, '6kg', 1604630743897736400, '0x9131512108541131312101153']
['0x875117021412155702114157480997619671506', '0x6306465420', '新黄浦', '733850EXAHMGYJ1', '汇纳科技', '739027AR27XJQ5X', '2020-11-06 10:45:43', '专业发票', '16.6%', 223, 72469, 72692, 1, 1, '5kg', 1604630743897736400, '0x1073956014111413513430']
['0x8152111460104120151314141314610454302110153270', '0x7559847795', '联明股份', '7357429TSAEJXD6', '日播时尚', '737677E8S3MAXTX', '2020-11-06 10:45:43', '普通发票', '10.29%', 384, 34529, 34913, 3, 2, '2kg', 1604630743897736400, '0x1160813510439152401013']
['0x128159757116151301021273251215011104109812121', '0x2591455431', '浦东建设', '738720DNQRDAFL6', '华平股份', '7348944KPNEPFY7', '2020-11-06 10:45:43', '普通发票', '12.76%', 422, 108233, 108655, 1, 3, '8kg', 1604630743897736400, '0x150131214127515491210149']
['0x5574233597482791510414401411375895111510', '0x9992422321', '交通银行', '736776U6SW94297', '世茂股份', '739529HJRYA7T44', '2020-11-06 10:45:43', '普通发票', '18.85%', 376, 27230, 27606, 4, 1, '4kg', 1604630743897736400, '0x9914101522315121412931012']
['0x1211113613141106105212296320204147582813110', '0x2089001081', '妙可蓝多', '731558VRTFVT7F6', '新时达', '739237HU7DLFS01', '2020-11-06 10:45:43', '普通发票', '13.41%', 652, 79162, 79814, 2, 1, '9kg', 1604630743897736400, '0x704414101412401510331213']
['0x831046101112311791461552615106753090409414', '0x3149558805', '良信电器', '731974JGB72L8C0', '海欣股份', '735730MIQ0ALLJ4', '2020-11-06 10:45:43', '专业发票', '13.03%', 596, 53679, 54275, 2, 2, '1kg', 1604630743897736400, '0x9628514313111331041263']
['0x10391514814111821396121115957210911715141510210', '0x7113969251', '宝钢包装', '732110OOWW63K24', '海顺新材', '734748UAO3E7SC3', '2020-11-06 10:45:43', '专业发票', '18.79%', 630, 77640, 78270, 3, 2, '3kg', 1604630743898685900, '0x410131551181400513111032']
['0x15455313815022071131311614136911964152511121', '0x1261598374', '密尔克卫', '7397406M1NT7QR0', '华铭智能', '732727TKKEQGR27', '2020-11-06 10:45:43', '普通发票', '11.8%', 912, 33873, 34785, 3, 4, '5kg', 1604630743898685900, '0x489613115112614111333']
['0x101107937129468012312101293220167770352', '0x6246745004', '氯碱化工', '733610M2DUADG00', '金枫酒业', '735047TV94IS5I8', '2020-11-06 10:45:43', '专业发票', '15.17%', 479, 93701, 94180, 4, 2, '3kg', 1604630743898685900, '0x1091248157012466111109']
['0x812144112444111133994131311125761110147415125', '0x0749158578', '亚士创能', '7383016GDI3XSU2', '上海电力', '738335WE7B8HYJ9', '2020-11-06 10:45:43', '专业发票', '15.68%', 998, 16775, 17773, 2, 2, '3kg', 1604630743898685900, '0x1415104615413101215120136']
['0x9441327811149611121413129131514641037689129010', '0x0341232770', '晶晨股份', '737962HN9EDUP17', '鹏欣资源', '737111PQHNJHRC9', '2020-11-06 10:45:43', '专业发票', '17.23%', 1063, 49599, 50662, 1, 4, '3kg', 1604630743898685900, '0x3001374137327397150']
['0x3140411111027411412063586401199113410111206', '0x8286566797', '上工申贝', '734630V36POYMC2', '中远海科', '7308634W22HY8N6', '2020-11-06 10:45:43', '增值税发票', '17.09%', 628, 43351, 43979, 1, 3, '8kg', 1604630743898685900, '0x144013851412661166610']
['0x51171411129715014111051561380534096778853', '0x4969753334', '中银证券', '739207FMHXVL3C4', '晶丰明源', '7347372A9BX0IL4', '2020-11-06 10:45:43', '增值税发票', '19.63%', 1094, 31660, 32754, 3, 2, '3kg', 1604630743898685900, '0x95691337871010151463']
['0x0010414511412583001210510157681715611314734', '0x1875175522', '联明股份', '7357429TSAEJXD6', '上海电气', '732454E9VPUAL76', '2020-11-06 10:45:43', '增值税发票', '10.12%', 804, 17436, 18240, 4, 2, '2kg', 1604630743898685900, '0x9110131121312912101403137']
['0x142764871574061215151261215141282421166135107', '0x2369487139', '永利股份', '738082QB080WVA3', '爱普股份', '7385691CXW3L5B6', '2020-11-06 10:45:43', '专业发票', '10.56%', 812, 34954, 35766, 4, 2, '8kg', 1604630743899189900, '0x031461031451115101126']
['0x154415855287111311511830315583100710974', '0x2714715760', '汇得科技', '733768RX5OM53Q3', '申通地铁', '730357EIH33KLVX', '2020-11-06 10:45:43', '普通发票', '17.68%', 362, 32546, 32908, 1, 3, '3kg', 1604630743899264400, '0x4795151415151211633143']
['0x13798414125421811171136913931011013104110', '0x0995951770', '昂立教育', '7314705HCSPI4H6', '中远海能', '738928DPR7U5658', '2020-11-06 10:45:43', '专业发票', '16.76%', 586, 41159, 41745, 1, 2, '1kg', 1604630743899264400, '0x2123710621315795551212']
['0x415675912130151270113081295102141081355126149', '0x2120573596', 'ST毅达', '736531RDEPB2K05', '华虹计通', '731091EL2JQF4AX', '2020-11-06 10:45:43', '增值税发票', '18.26%', 1062, 41508, 42570, 4, 2, '5kg', 1604630743899264400, '0x121285101311411480141516']
['0x6301142335680112911566010101410012333141511', '0x2480972864', '晶晨股份', '737962HN9EDUP17', '复旦复华', '736407SMITD17U7', '2020-11-06 10:45:43', '普通发票', '19.77%', 537, 27102, 27639, 2, 1, '10kg', 1604630743899264400, '0x10012464111011211077511']
['0x29052110544139121414007691414256104121215', '0x8955061122', '上海洗霸', '730623QPOXS2QF0', '兰生股份', '736554N381OWVN8', '2020-11-06 10:45:43', '专业发票', '14.07%', 149, 45825, 45974, 3, 2, '8kg', 1604630743899264400, '0x6119810814148461101314']
['0x813613151514100152911145813103394116149153111528', '0x1710880649', '中颖电子', '739439P60C8CSO6', '证券简称', '736763JRERB3H54', '2020-11-06 10:45:43', '增值税发票', '14.64%', 738, 55123, 55861, 3, 2, '10kg', 1604630743899264400, '0x148842122411515151051114']
['0x4540101107711114379501321473136146101030118', '0x9193538102', 'ST中安', '737455LFIPCUEE4', '格尔软件', '7356204QBST0040', '2020-11-06 10:45:43', '普通发票', '10.6%', 544, 42780, 43324, 3, 4, '10kg', 1604630743899264400, '0x12132151149512144141241113']
['0x101258711820526410426111551101471348148151211', '0x6891259498', '东方证券', '735129ND823XM16', '新世界', '735041XLVYVCLT7', '2020-11-06 10:45:43', '增值税发票', '15.86%', 241, 48764, 49005, 4, 4, '1kg', 1604630743899770300, '0x596122321411912842814']
['0x131514091316745141012977831026121591495142', '0x0865337922', '中视传媒', '7332881UDWYQ6G5', '上海环境', '738233PBCS3DBL3', '2020-11-06 10:45:43', '普通发票', '12.51%', 270, 73855, 74125, 1, 2, '11kg', 1604630743899770300, '0x13141151213151121315628115']
['0x4141111080127012139413156413983112110861365', '0x1294706540', '华谊集团', '734111DBL850569', '澜起科技', '7365513E7BVS5P8', '2020-11-06 10:45:43', '专业发票', '19.84%', 845, 22105, 22950, 1, 1, '5kg', 1604630743899770300, '0x1071268177614102111329']
['0x4715073111361914511131363131128704405117', '0x4335536045', '春秋航空', '7378857IBHDI7R8', '飞科电器', '734492OBVOW2BE8', '2020-11-06 10:45:43', '普通发票', '14.94%', 1087, 59503, 60590, 4, 1, '10kg', 1604630743899770300, '0x314914326121213411114121']
['0x94831051514413621081515797111101112104791159', '0x8492528417', '彤程新材', '731981CVVT1FH75', '新通联', '739024LJUDT83G9', '2020-11-06 10:45:43', '增值税发票', '13.53%', 147, 23007, 23154, 2, 3, '4kg', 1604630743899770300, '0x39114114986101121314105']
['0x91710320137411401761444714021012171413014', '0x3438003381', '浦东金桥', '733574U9OE1OFX4', '上汽集团', '739487RMLNASKP9', '2020-11-06 10:45:43', '普通发票', '18.29%', 720, 55847, 56567, 4, 4, '3kg', 1604630743899770300, '0x881480706139131011258']
['0x1421272141351249410471001435232109061215844', '0x8882112687', '上港集团', '730093PMES3ICQ8', '汇得科技', '733768RX5OM53Q3', '2020-11-06 10:45:43', '专业发票', '12.08%', 161, 93748, 93909, 2, 1, '6kg', 1604630743899770300, '0x5513608813121003112109']
['0x513109415511383110832101395766742601012153', '0x7263143808', '中华企业', '73915701H5QLXT6', '聚辰股份', '7319047HA2DM8U0', '2020-11-06 10:45:43', '普通发票', '19.53%', 130, 30207, 30337, 3, 4, '1kg', 1604630743899770300, '0x01127133757715211313']
['0x11592137101241511218215421411630761360119135', '0x4505493418', '百联股份', '733459OUGAJ3EC1', '美邦服饰', '734878VQ2382VF6', '2020-11-06 10:45:43', '增值税发票', '18.56%', 408, 17758, 18166, 4, 3, '8kg', 1604630743899770300, '0x8122721515634773168']
['0x1251212313155212146154221043070130648673105', '0x2643654041', '东方财富', '7373367NFM873UX', '上海凯宝', '739536F7QW2K8R9', '2020-11-06 10:45:43', '专业发票', '14.27%', 165, 89616, 89781, 2, 1, '10kg', 1604630743899770300, '0x091215156102815504256']
['0x913813139415811115095810111121046316141013405', '0x9445010550', '光明乳业', '733392XGO2IXJC1', '韦尔股份', '736468S7WQUKDC0', '2020-11-06 10:45:43', '专业发票', '16.0%', 929, 79301, 80230, 3, 4, '4kg', 1604630743899770300, '0x5812710141511315106120138']
['0x3131081449115157310961413121214314141489147951114', '0x9801668194', '上海新阳', '730561WBXHCUJ4X', 'ST岩石', '730457JP1BB2KG5', '2020-11-06 10:45:43', '增值税发票', '13.82%', 673, 56177, 56850, 4, 2, '8kg', 1604630743899770300, '0x118101366113915912132155']
['0x91711549088922410211411115501091111610582', '0x5132770144', '世茂股份', '739529HJRYA7T44', '至正股份', '7336385JAOIHBB0', '2020-11-06 10:45:43', '普通发票', '15.09%', 636, 43750, 44386, 2, 3, '6kg', 1604630743899770300, '0x131301011140112237137714']
['0x12541511315229141101212911315101411015120115052', '0x0870406115', '上港集团', '730093PMES3ICQ8', '百联股份', '733459OUGAJ3EC1', '2020-11-06 10:45:43', '普通发票', '11.43%', 1081, 25688, 26769, 4, 2, '11kg', 1604630743899770300, '0x5055710151011515010110']
['0x61213115104710441215104132910116413424210313', '0x4778186991', '泛微网络', '7364413YLO78W85', '康德莱', '736309QM2GOYVD5', '2020-11-06 10:45:43', '普通发票', '16.1%', 926, 37276, 38202, 4, 1, '3kg', 1604630743899770300, '0x61314011748121411144798']
['0x1210970141411121701314718115433159241127114', '0x3255861772', '国投资本', '733019TIKK775I8', '宏和科技', '733827SG9M9USLX', '2020-11-06 10:45:43', '普通发票', '19.09%', 606, 89777, 90383, 4, 1, '6kg', 1604630743900781000, '0x5014145760037187125']
['0x131138131574121010251111114798141561315113141', '0x8082985760', '上海机电', '739017PGDOY03Y9', '开创国际', '730359CMXQXO4D9', '2020-11-06 10:45:43', '增值税发票', '18.78%', 1023, 89106, 90129, 2, 4, '8kg', 1604630743900781000, '0x66411461311123451281315']
['0x86122632959615011108327137358142141521258', '0x0524598155', '二三四五', '733586OLXQYVX56', '移为通信', '739030WXYQWLBF3', '2020-11-06 10:45:43', '普通发票', '17.93%', 996, 28298, 29294, 4, 1, '5kg', 1604630743900781000, '0x21097610551451383912']
['0x2117715631269491121501571512381403121447112', '0x4431234324', '乐鑫科技', '7377029EIXPJ8A0', '天玑科技', '739093RODNBA4U7', '2020-11-06 10:45:43', '普通发票', '10.89%', 313, 75830, 76143, 2, 1, '5kg', 1604630743900781000, '0x9161435133111802300']
['0x1351902103315710141451511555431350100136912', '0x1269027860', '鹏欣资源', '737111PQHNJHRC9', '上海石化', '73810463XNW9XX5', '2020-11-06 10:45:43', '增值税发票', '19.72%', 459, 84583, 85042, 1, 3, '1kg', 1604630743900781000, '0x53352811410131381310']
['0x63311151401558314491311379517215281490106', '0x8864083349', '威派格', '732934IEPT3VCR2', '普元信息', '7359276QNU45K35', '2020-11-06 10:45:43', '专业发票', '17.06%', 1073, 73135, 74208, 2, 2, '2kg', 1604630743900781000, '0x131331413886281101515214']
['0x54211110153181115302110101211111014127149111595', '0x5440387439', '亚通股份', '737707HEPL9AF52', '泰胜风能', '7329333SBDVNC8X', '2020-11-06 10:45:43', '增值税发票', '17.53%', 691, 33082, 33773, 4, 4, '5kg', 1604630743900781000, '0x223141510810026410670']
['0x356748121171311010166292159913331211510822', '0x4390627558', '科博达', '734084BYDM98AE7', '广电电气', '732351UJVO5BYI7', '2020-11-06 10:45:43', '普通发票', '11.55%', 774, 86263, 87037, 3, 1, '11kg', 1604630743900781000, '0x151112256147115132613150']
['0x78724139711310121299144812117913727065113', '0x8497969969', '中国海诚', '739272L15GREYJ8', '矩子科技', '731234LM4MKOAQ1', '2020-11-06 10:45:43', '专业发票', '17.65%', 832, 34629, 35461, 2, 1, '1kg', 1604630743900781000, '0x59140751311121191314715']
['0x12209147953013102571524311912023411722815', '0x3832471188', '浦东建设', '738720DNQRDAFL6', '至正股份', '7336385JAOIHBB0', '2020-11-06 10:45:43', '增值税发票', '11.49%', 964, 81266, 82230, 2, 4, '4kg', 1604630743900781000, '0x0131311934664201411310']
['0x1353831031451561012311313118362983014143003', '0x6591636907', '中颖电子', '739439P60C8CSO6', '新黄浦', '733850EXAHMGYJ1', '2020-11-06 10:45:43', '专业发票', '10.7%', 999, 17861, 18860, 4, 1, '1kg', 1604630743900781000, '0x4760111313107811858117']
['0x73146610142915698213153592154143428011414', '0x4244516149', '中国太保', '7328842Q69Q0QJ1', '同达创业', '7387993UQY50UAX', '2020-11-06 10:45:43', '专业发票', '10.44%', 461, 109664, 110125, 3, 4, '9kg', 1604630743900781000, '0x10411221598301121001310']
['0x2100510124061410138211826506512451011761114', '0x6486017843', '世茂股份', '739529HJRYA7T44', '雪榕生物', '739077CX5TMVOF3', '2020-11-06 10:45:43', '增值税发票', '15.49%', 162, 60596, 60758, 3, 2, '10kg', 1604630743900781000, '0x5152650276441510329']
['0x14431589013154700131523510111115087971028', '0x3448978600', '广电电气', '732351UJVO5BYI7', '凯利泰', '739016XI5KO3BU8', '2020-11-06 10:45:43', '专业发票', '11.07%', 416, 32315, 32731, 1, 2, '8kg', 1604630743900781000, '0x11415335101151215749511']
['0x3151214122321143611149261115408110159510126', '0x9512705927', '嘉麟杰', '733979FK8NVYNT3', '雅运股份', '7320064G5K6KY09', '2020-11-06 10:45:43', '普通发票', '19.85%', 795, 62824, 63619, 2, 4, '7kg', 1604630743900781000, '0x10125111423158414315140']
['0x101214137977641370015121277271214860710131065', '0x0731116081', '宏达新材', '731090NISOL3SV0', '中颖电子', '739439P60C8CSO6', '2020-11-06 10:45:43', '普通发票', '19.87%', 232, 71244, 71476, 3, 4, '4kg', 1604630743901780900, '0x8211111131113136710118']
['0x118590498551110961571515064014613715131170', '0x6138326647', '博通集成', '738070D71LJHAB5', '剑桥科技', '730572JDQHTPX05', '2020-11-06 10:45:43', '专业发票', '11.83%', 908, 58192, 59100, 1, 4, '5kg', 1604630743901780900, '0x6613541261431321114121']
['0x14546131889612139814119114151511291539101124', '0x0573910926', '华测导航', '738555MC5WN8P17', '中远海能', '738928DPR7U5658', '2020-11-06 10:45:43', '普通发票', '18.25%', 1002, 31187, 32189, 1, 3, '9kg', 1604630743901780900, '0x1424149131014311121510103']
['0x151529108089141314714101257166501414138510133', '0x6383860861', '新黄浦', '733850EXAHMGYJ1', '海欣股份', '735730MIQ0ALLJ4', '2020-11-06 10:45:43', '增值税发票', '12.75%', 606, 18184, 18790, 1, 2, '10kg', 1604630743901780900, '0x71013015110131507628148']
['0x114131414209264151159121310977703113213699', '0x3537465180', '国泰君安', '732937RPHHXXOC5', '地素时尚', '738550Q2Q5VUEH8', '2020-11-06 10:45:43', '普通发票', '11.59%', 708, 13456, 14164, 1, 2, '11kg', 1604630743901780900, '0x11513142101218100571443']
['0x12122011066315070915914141412117125712037810', '0x6378260711', '保隆科技', '731114ANPJPBH71', '强生控股', '737120FLLHCKL70', '2020-11-06 10:45:43', '普通发票', '15.07%', 1049, 47191, 48240, 1, 3, '11kg', 1604630743901780900, '0x1311910213335132251550']
['0x8471341110131591510121515319523301312893151', '0x9683871582', '至正股份', '7336385JAOIHBB0', '亚通股份', '737707HEPL9AF52', '2020-11-06 10:45:43', '普通发票', '12.39%', 1047, 86941, 87988, 1, 4, '1kg', 1604630743901780900, '0x515129155714141031515911']
['0x14117037128293121311552130135877741515935', '0x2036946864', '克来机电', '731077BFO5WFVE0', '上海电力', '738335WE7B8HYJ9', '2020-11-06 10:45:43', '专业发票', '10.15%', 797, 14281, 15078, 4, 4, '1kg', 1604630743901780900, '0x90518791014701383815']
['0x13571311133447231011304129997456600610116', '0x2017333056', '沃施股份', '739108USVBJMV83', '城地股份', '737145NMSSW1CK1', '2020-11-06 10:45:43', '增值税发票', '17.23%', 287, 56882, 57169, 1, 2, '7kg', 1604630743901780900, '0x12162815410221571350']
['0x5101015210111315310215576510829210121211513059', '0x4855674353', '乐鑫科技', '7377029EIXPJ8A0', '新时达', '739237HU7DLFS01', '2020-11-06 10:45:43', '普通发票', '14.43%', 1029, 67645, 68674, 1, 1, '8kg', 1604630743901780900, '0x1714141271041003015926']
['0x41220118931095321405091010511514481015592', '0x0530032700', '恒为科技', '7329568NWIBM1B3', '百润股份', '735114V6OYDWAJX', '2020-11-06 10:45:43', '专业发票', '11.16%', 209, 83009, 83218, 4, 1, '4kg', 1604630743901780900, '0x141161099402413009814']
['0x113681515715137212155815442061204156913113413', '0x6337074351', '二三四五', '733586OLXQYVX56', '雅运股份', '7320064G5K6KY09', '2020-11-06 10:45:43', '专业发票', '14.19%', 688, 38425, 39113, 3, 3, '1kg', 1604630743901780900, '0x01412161331165341313']
['0x13114141802821310914233790061123151315110910', '0x0597693467', '中远海科', '7308634W22HY8N6', '上工申贝', '734630V36POYMC2', '2020-11-06 10:45:43', '增值税发票', '10.08%', 1066, 49358, 50424, 3, 3, '7kg', 1604630743901780900, '0x14322831514015101141014']
['0x754621296146712204110591063913814103313312', '0x5016759862', '顺灏股份', '738962FEXP7C5E0', '飞科电器', '734492OBVOW2BE8', '2020-11-06 10:45:43', '专业发票', '10.36%', 875, 80969, 81844, 1, 3, '2kg', 1604630743901780900, '0x0751514478133119014914']
['0x151413109211213104101900691886215941513870', '0x1781788821', '宝钢包装', '732110OOWW63K24', '申达股份', '737110Q6DR3E6J8', '2020-11-06 10:45:43', '增值税发票', '10.45%', 1041, 86791, 87832, 3, 3, '6kg', 1604630743902777200, '0x136681159100111461912']
